Article Title,Link,Question
"Rising Auto Loan Delinquencies and High Monthly Payments","https://www.federalreserve.gov/econres/notes/feds-notes/rising-auto-loan-delinquencies-and-high-monthly-payments-20240926.html","How does the model account for macroeconomic factors influencing auto loan delinquencies?"
"Rising Auto Loan Delinquencies and High Monthly Payments","https://www.federalreserve.gov/econres/notes/feds-notes/rising-auto-loan-delinquencies-and-high-monthly-payments-20240926.html","What metrics are used by the model to quantify the impact of high monthly payments on risk?"
"Rising Auto Loan Delinquencies and High Monthly Payments","https://www.federalreserve.gov/econres/notes/feds-notes/rising-auto-loan-delinquencies-and-high-monthly-payments-20240926.html","Does the model distinguish between prime and subprime borrowers in its predictions?"
"Pete MacInnis on the Impact of the Fed's Rate Cuts and the Future of Automotive Financing","https://www.cbtnews.com/pete-macinnis-on-the-impact-of-the-feds-rate-cuts-and-the-future-of-automotive-financing/","How does the model simulate the effect of Federal Reserve rate cuts on auto loan interest rates?"
"Pete MacInnis on the Impact of the Fed's Rate Cuts and the Future of Automotive Financing","https://www.cbtnews.com/pete-macinnis-on-the-impact-of-the-feds-rate-cuts-and-the-future-of-automotive-financing/","What assumptions does the model make about the sensitivity of auto loan demand to interest rate changes?"
"Pete MacInnis on the Impact of the Fed's Rate Cuts and the Future of Automotive Financing","https://www.cbtnews.com/pete-macinnis-on-the-impact-of-the-feds-rate-cuts-and-the-future-of-automotive-financing/","How does the model handle varying risk levels across different automotive financing products?"
"Credit Card and Auto Loan Delinquencies Continue Rising","https://www.newyorkfed.org/newsevents/news/research/2024/20240206","What inputs does the model use to forecast delinquency transition rates for auto loans?"
"Credit Card and Auto Loan Delinquencies Continue Rising","https://www.newyorkfed.org/newsevents/news/research/2024/20240206","How does the model compare the performance of different delinquency prediction techniques?"
"Credit Card and Auto Loan Delinquencies Continue Rising","https://www.newyorkfed.org/newsevents/news/research/2024/20240206","Does the model effectively differentiate between seasonal trends and systemic risks in auto loans?"
"The Effects of Credit Score Migration on Subprime Auto Loan and Credit Card Delinquencies","https://www.federalreserve.gov/econres/notes/feds-notes/the-effects-of-credit-score-migration-on-subprime-auto-loan-and-credit-card-delinquencies-20240112.html","How does the model adjust predictions based on upward or downward credit score migration?"
"The Effects of Credit Score Migration on Subprime Auto Loan and Credit Card Delinquencies","https://www.federalreserve.gov/econres/notes/feds-notes/the-effects-of-credit-score-migration-on-subprime-auto-loan-and-credit-card-delinquencies-20240112.html","Does the model incorporate counterfactual analysis, and how is its accuracy validated?"
"The Effects of Credit Score Migration on Subprime Auto Loan and Credit Card Delinquencies","https://www.federalreserve.gov/econres/notes/feds-notes/the-effects-of-credit-score-migration-on-subprime-auto-loan-and-credit-card-delinquencies-20240112.html","What sensitivity tests have been performed on the model to ensure robustness?"
"Americans Are Falling Behind on Credit Card Bills, Auto Loans - and Wall Street Is Getting Worried","https://nypost.com/2024/09/16/business/americans-are-falling-behind-on-credit-card-bills-auto-loans/","How does the model estimate the relationship between rising interest rates and auto loan delinquencies?"
"Americans Are Falling Behind on Credit Card Bills, Auto Loans - and Wall Street Is Getting Worried","https://nypost.com/2024/09/16/business/americans-are-falling-behind-on-credit-card-bills-auto-loans/","What validation methods does the model use to align predictions with observed delinquency trends?"
"Americans Are Falling Behind on Credit Card Bills, Auto Loans - and Wall Street Is Getting Worried","https://nypost.com/2024/09/16/business/americans-are-falling-behind-on-credit-card-bills-auto-loans/","How does the model integrate borrower-level data into its macroeconomic forecasts?"
